DATE,LISTED PRICE,PRICE TREND,day_of_week,month,week_of_year,MA_7,MA_14,volatility_7,momentum_7,price_lag_1,price_lag_2,price_lag_3,price_lag_7,price_lag_14,log_price
28-03-2024,39999,1,3,3,13,39996.42857,39997.71429,4.391550328,0,39990,39990,39999,39999,39999,10.59663473
29-03-2024,38999,-1,4,3,13,39853.57143,39926.28571,376.8544622,-1000,39999,39990,39990,39999,39999,10.57131693
30-03-2024,38999,0,5,3,13,39710.71429,39854.85714,486.2100761,-1000,38999,39999,39990,39999,39999,10.57131693
31-03-2024,38999,0,6,3,13,39567.85714,39783.42857,532.1298177,-1000,38999,38999,39999,39999,39999,10.57131693
01-04-2024,38999,0,0,4,14,39425.0,39712.0,531.3238184,-1000,38999,38999,38999,39999,39999,10.57131693
02-04-2024,38999,0,1,4,14,39283.42857,39640.57143,485.7612092,-991,38999,38999,38999,39990,39999,10.57131693
03-04-2024,38999,0,2,4,14,39141.85714,39569.14286,377.964473,-991,38999,38999,38999,39990,39999,10.57131693
04-04-2024,38999,0,3,4,14,38999.0,39497.71429,0.0,-1000,38999,38999,38999,39999,39999,10.57131693
05-04-2024,38999,0,4,4,14,38999.0,39426.28571,0.0,0,38999,38999,38999,38999,39999,10.57131693
06-04-2024,38999,0,5,4,14,38999.0,39354.85714,0.0,0,38999,38999,38999,38999,39999,10.57131693
07-04-2024,39999,1,6,4,14,39141.85714,39354.85714,377.964473,1000,38999,38999,38999,38999,39999,10.59663473
08-04-2024,39999,0,0,4,15,39284.71429,39354.85714,487.9500365,1000,39999,38999,38999,38999,39999,10.59663473
09-04-2024,39999,0,1,4,15,39427.57143,39355.5,534.5224838,1000,39999,39999,38999,38999,39990,10.59663473
10-04-2024,39999,0,2,4,15,39570.42857,39356.14286,534.5224838,1000,39999,39999,39999,38999,39990,10.59663473
11-04-2024,39999,0,3,4,15,39713.28571,39356.14286,487.9500365,1000,39999,39999,39999,38999,39999,10.59663473
12-04-2024,39999,0,4,4,15,39856.14286,39427.57143,377.964473,1000,39999,39999,39999,38999,38999,10.59663473
13-04-2024,39999,0,5,4,15,39999.0,39499.0,0.0,1000,39999,39999,39999,38999,38999,10.59663473
14-04-2024,36799,-1,6,4,15,39541.85714,39341.85714,1209.486314,-3200,39999,39999,39999,39999,38999,10.51325312
15-04-2024,36750,-1,0,4,16,39077.71429,39181.21429,1573.458475,-3249,36799,39999,39999,39999,38999,10.51192072
16-04-2024,36750,0,1,4,16,38613.57143,39020.57143,1728.01021,-3249,36750,36799,39999,39999,38999,10.51192072
17-04-2024,36700,-1,2,4,16,38142.28571,38856.35714,1737.032308,-3299,36750,36750,36799,39999,38999,10.51055928
18-04-2024,36700,0,3,4,16,37671.0,38692.14286,1590.687273,-3299,36700,36750,36750,39999,38999,10.51055928
19-04-2024,36680,-1,4,4,16,37196.85714,38526.5,1236.293712,-3319,36700,36700,36750,39999,38999,10.51001419
20-04-2024,35990,-1,5,4,16,36624.14286,38311.57143,282.5540825,-4009,36680,36700,36700,39999,38999,10.49102419
21-04-2024,35970,-1,6,4,16,36505.71429,38023.78571,360.1322508,-829,35990,36680,36700,36799,39999,10.49046834
22-04-2024,35970,0,0,4,17,36394.28571,37736.0,391.2738658,-780,35970,35990,36680,36750,39999,10.49046834
23-04-2024,35950,-1,1,4,17,36280.0,37446.78571,386.8677638,-800,35970,35970,35990,36750,39999,10.48991218
24-04-2024,35950,0,2,4,17,36172.85714,37157.57143,353.5870607,-750,35950,35970,35970,36700,39999,10.48991218
25-04-2024,39980,1,3,4,17,36641.42857,37156.21429,1496.088551,3280,35950,35950,35970,36700,39999,10.59615962
26-04-2024,39980,0,4,4,17,37112.85714,37154.85714,1958.679098,3300,39980,35950,35950,36680,39999,10.59615962
27-04-2024,35950,-1,5,4,17,37107.14286,36865.64286,1962.555428,-40,39980,39980,35950,35990,39999,10.48991218
28-04-2024,39990,1,6,4,17,37681.42857,37093.57143,2153.248929,4020,35950,39980,39980,35970,36799,10.59640971
29-04-2024,39990,0,0,4,18,38255.71429,37325.0,2156.802086,4020,39990,35950,39980,35970,36750,10.59640971
