DATE,LISTED PRICE,PRICE TREND,day_of_week,month,week_of_year,MA_7,MA_14,volatility_7,momentum_7,price_lag_1,price_lag_2,price_lag_3,price_lag_7,price_lag_14,log_price
02-02-2023,116000,0,3,2,5,107421.4286,105705.7143,5860.279938,12010,116000,103990,103990,103990,103990,11.66135409
03-02-2023,116000,0,4,2,5,109137.1429,106563.5714,6419.615031,12010,116000,116000,103990,103990,103990,11.66135409
04-02-2023,116000,0,5,2,5,110852.8571,107421.4286,6419.615031,12010,116000,116000,116000,103990,103990,11.66135409
05-02-2023,116000,0,6,2,5,112568.5714,108279.2857,5860.279938,12010,116000,116000,116000,103990,103990,11.66135409
06-02-2023,116000,0,0,2,6,114284.2857,109137.1429,4539.353321,12010,116000,116000,116000,103990,103990,11.66135409
07-02-2023,116000,0,1,2,6,116000,109995,0,12010,116000,116000,116000,103990,103990,11.66135409
08-02-2023,116000,0,2,2,6,116000,110852.8571,0,0,116000,116000,116000,116000,103990,11.66135409
09-02-2023,107999,-1,3,2,6,114857,111139.2143,3024.093749,-8001,116000,116000,116000,116000,103990,11.58988651
10-02-2023,107999,0,4,2,6,113714,111425.5714,3904.088242,-8001,107999,116000,116000,116000,103990,11.58988651
11-02-2023,107999,0,5,2,6,112571,111711.9286,4276.714393,-8001,107999,107999,116000,116000,103990,11.58988651
12-02-2023,107999,0,6,2,6,111428,111998.2857,4276.714393,-8001,107999,107999,107999,116000,103990,11.58988651
13-02-2023,107999,0,0,2,7,110285,112284.6429,3904.088242,-8001,107999,107999,107999,116000,103990,11.58988651
14-02-2023,107999,0,1,2,7,109142,112571,3024.093749,-8001,107999,107999,107999,116000,103990,11.58988651
15-02-2023,107999,0,2,2,7,107999,111999.5,0,-8001,107999,107999,107999,116000,116000,11.58988651
16-02-2023,107999,0,3,2,7,107999,111428,0,0,107999,107999,107999,107999,116000,11.58988651
17-02-2023,107999,0,4,2,7,107999,110856.5,0,0,107999,107999,107999,107999,116000,11.58988651
18-02-2023,107999,0,5,2,7,107999,110285,0,0,107999,107999,107999,107999,116000,11.58988651
19-02-2023,107999,0,6,2,7,107999,109713.5,0,0,107999,107999,107999,107999,116000,11.58988651
20-02-2023,107999,0,0,2,8,107999,109142,0,0,107999,107999,107999,107999,116000,11.58988651
21-02-2023,107999,0,1,2,8,107999,108570.5,0,0,107999,107999,107999,107999,116000,11.58988651
22-02-2023,107999,0,2,2,8,107999,107999,0,0,107999,107999,107999,107999,116000,11.58988651
23-02-2023,107999,0,3,2,8,107999,107999,0,0,107999,107999,107999,107999,107999,11.58988651
24-02-2023,107999,0,4,2,8,107999,107999,0,0,107999,107999,107999,107999,107999,11.58988651
25-02-2023,107999,0,5,2,8,107999,107999,0,0,107999,107999,107999,107999,107999,11.58988651
26-02-2023,107999,0,6,2,8,107999,107999,0,0,107999,107999,107999,107999,107999,11.58988651
27-02-2023,107999,0,0,2,9,107999,107999,0,0,107999,107999,107999,107999,107999,11.58988651
28-02-2023,107999,0,1,2,9,107999,107999,0,0,107999,107999,107999,107999,107999,11.58988651
01-03-2023,107999,0,2,3,9,107999,107999,0,0,107999,107999,107999,107999,107999,11.58988651
02-03-2023,107999,0,3,3,9,107999,107999,0,0,107999,107999,107999,107999,107999,11.58988651
03-03-2023,107999,0,4,3,9,107999,107999,0,0,107999,107999,107999,107999,107999,11.58988651
04-03-2023,107999,0,5,3,9,107999,107999,0,0,107999,107999,107999,107999,107999,11.58988651
05-03-2023,107999,0,6,3,9,107999,107999,0,0,107999,107999,107999,107999,107999,11.58988651
06-03-2023,107999,0,0,3,10,107999,107999,0,0,107999,107999,107999,107999,107999,11.58988651
07-03-2023,107999,0,1,3,10,107999,107999,0,0,107999,107999,107999,107999,107999,11.58988651
