DATE,LISTED PRICE,PRICE TREND,day_of_week,month,week_of_year,MA_7,MA_14,volatility_7,momentum_7,price_lag_1,price_lag_2,price_lag_3,price_lag_7,price_lag_14,log_price
13-10-2024,55990,0,6,10,41,55990,54561.42857,0,0,55990,55990,55990,55990,51990,10.93294624
14-10-2024,55990,0,0,10,42,55990,54775.71429,0,0,55990,55990,55990,55990,52990,10.93294624
15-10-2024,55990,0,1,10,42,55990,54990,0,0,55990,55990,55990,55990,52990,10.93294624
16-10-2024,55990,0,2,10,42,55990,55204.28571,0,0,55990,55990,55990,55990,52990,10.93294624
17-10-2024,55990,0,3,10,42,55990,55418.57143,0,0,55990,55990,55990,55990,52990,10.93294624
18-10-2024,55990,0,4,10,42,55990,55632.85714,0,0,55990,55990,55990,55990,52990,10.93294624
19-10-2024,55990,0,5,10,42,55990,55990,0,0,55990,55990,55990,55990,50990,10.93294624
20-10-2024,53990,-1,6,10,42,55704.28571,55847.14286,755.928946,-2000,55990,55990,55990,55990,55990,10.89657264
21-10-2024,53990,0,0,10,43,55418.57143,55704.28571,975.9000729,-2000,53990,55990,55990,55990,55990,10.89657264
22-10-2024,53990,0,1,10,43,55132.85714,55561.42857,1069.044968,-2000,53990,53990,55990,55990,55990,10.89657264
23-10-2024,53990,0,2,10,43,54847.14286,55418.57143,1069.044968,-2000,53990,53990,53990,55990,55990,10.89657264
24-10-2024,53990,0,3,10,43,54561.42857,55275.71429,975.9000729,-2000,53990,53990,53990,55990,55990,10.89657264
25-10-2024,53990,0,4,10,43,54275.71429,55132.85714,755.928946,-2000,53990,53990,53990,55990,55990,10.89657264
26-10-2024,53990,0,5,10,43,53990,54990,0,-2000,53990,53990,53990,55990,55990,10.89657264
27-10-2024,53990,0,6,10,43,53990,54847.14286,0,0,53990,53990,53990,53990,55990,10.89657264
28-10-2024,53990,0,0,10,44,53990,54704.28571,0,0,53990,53990,53990,53990,55990,10.89657264
29-10-2024,53990,0,1,10,44,53990,54561.42857,0,0,53990,53990,53990,53990,55990,10.89657264
30-10-2024,53990,0,2,10,44,53990,54418.57143,0,0,53990,53990,53990,53990,55990,10.89657264
31-10-2024,53990,0,3,10,44,53990,54275.71429,0,0,53990,53990,53990,53990,55990,10.89657264
01-11-2024,55899,1,4,11,44,54262.71429,54269.21429,721.534179,1909,53990,53990,53990,53990,55990,10.93131966
02-11-2024,55899,0,5,11,44,54535.42857,54262.71429,931.4966196,1909,55899,53990,53990,53990,55990,10.93131966
03-11-2024,55899,0,6,11,44,54808.14286,54399.07143,1020.403422,1909,55899,55899,53990,53990,53990,10.93131966
04-11-2024,55899,0,0,11,45,55080.85714,54535.42857,1020.403422,1909,55899,55899,55899,53990,53990,10.93131966
05-11-2024,55899,0,1,11,45,55353.57143,54671.78571,931.4966196,1909,55899,55899,55899,53990,53990,10.93131966
06-11-2024,55899,0,2,11,45,55626.28571,54808.14286,721.534179,1909,55899,55899,55899,53990,53990,10.93131966
07-11-2024,55899,0,3,11,45,55899,54944.5,0,1909,55899,55899,55899,53990,53990,10.93131966
08-11-2024,55899,0,4,11,45,55899,55080.85714,0,0,55899,55899,55899,55899,53990,10.93131966
09-11-2024,55899,0,5,11,45,55899,55217.21429,0,0,55899,55899,55899,55899,53990,10.93131966
10-11-2024,55899,0,6,11,45,55899,55353.57143,0,0,55899,55899,55899,55899,53990,10.93131966
11-11-2024,55899,0,0,11,46,55899,55489.92857,0,0,55899,55899,55899,55899,53990,10.93131966
12-11-2024,55899,0,1,11,46,55899,55626.28571,0,0,55899,55899,55899,55899,53990,10.93131966
13-11-2024,55899,0,2,11,46,55899,55762.64286,0,0,55899,55899,55899,55899,53990,10.93131966
14-11-2024,55990,1,3,11,46,55912,55905.5,34.39476704,91,55899,55899,55899,55899,53990,10.93294624
15-11-2024,55899,-1,4,11,46,55912,55905.5,34.39476704,0,55990,55899,55899,55899,55899,10.93131966
16-11-2024,55899,0,5,11,46,55912,55905.5,34.39476704,0,55899,55990,55899,55899,55899,10.93131966
17-11-2024,55899,0,6,11,46,55912,55905.5,34.39476704,0,55899,55899,55990,55899,55899,10.93131966
18-11-2024,55899,0,0,11,47,55912,55905.5,34.39476704,0,55899,55899,55899,55899,55899,10.93131966
19-11-2024,55899,0,1,11,47,55912,55905.5,34.39476704,0,55899,55899,55899,55899,55899,10.93131966
20-11-2024,55990,1,2,11,47,55925,55912,44.40345332,91,55899,55899,55899,55899,55899,10.93294624
21-11-2024,55990,0,3,11,47,55925,55918.5,44.40345332,0,55990,55899,55899,55990,55899,10.93294624
22-11-2024,55990,0,4,11,47,55938,55925,48.64154603,91,55990,55990,55899,55899,55899,10.93294624
23-11-2024,55990,0,5,11,47,55951,55931.5,48.64154603,91,55990,55990,55990,55899,55899,10.93294624
24-11-2024,55990,0,6,11,47,55964,55938,44.40345332,91,55990,55990,55990,55899,55899,10.93294624
25-11-2024,55990,0,0,11,48,55977,55944.5,34.39476704,91,55990,55990,55990,55899,55899,10.93294624
26-11-2024,55990,0,1,11,48,55990,55951,0,91,55990,55990,55990,55899,55899,10.93294624
27-11-2024,55990,0,2,11,48,55990,55957.5,0,0,55990,55990,55990,55990,55899,10.93294624
28-11-2024,55990,0,3,11,48,55990,55957.5,0,0,55990,55990,55990,55990,55990,10.93294624
29-11-2024,55990,0,4,11,48,55990,55964,0,0,55990,55990,55990,55990,55899,10.93294624
30-11-2024,55990,0,5,11,48,55990,55970.5,0,0,55990,55990,55990,55990,55899,10.93294624
01-12-2024,55990,0,6,12,48,55990,55977,0,0,55990,55990,55990,55990,55899,10.93294624
02-12-2024,55990,0,0,12,49,55990,55983.5,0,0,55990,55990,55990,55990,55899,10.93294624
