DATE,LISTED PRICE,PRICE TREND,day_of_week,month,week_of_year,MA_7,MA_14,volatility_7,momentum_7,price_lag_1,price_lag_2,price_lag_3,price_lag_7,price_lag_14,log_price
30-05-2024,136990,0,3,5,22,137262.8571,137456.4286,721.9121434,-1000,136990,136990,136990,137990,140700,11.82767051
31-05-2024,136990,0,4,5,22,136990,137191.4286,0,-1910,136990,136990,136990,138900,140700,11.82767051
01-06-2024,136990,0,5,6,22,136990,137191.4286,0,0,136990,136990,136990,136990,136990,11.82767051
02-06-2024,136990,0,6,6,22,136990,137191.4286,0,0,136990,136990,136990,136990,136990,11.82767051
03-06-2024,136990,0,0,6,23,136990,137197.8571,0,0,136990,136990,136990,136990,136900,11.82767051
04-06-2024,136990,0,1,6,23,136990,137197.8571,0,0,136990,136990,136990,136990,136990,11.82767051
05-06-2024,136990,0,2,6,23,136990,137197.8571,0,0,136990,136990,136990,136990,136990,11.82767051
06-06-2024,136990,0,3,6,23,136990,137126.4286,0,0,136990,136990,136990,136990,137990,11.82767051
07-06-2024,136990,0,4,6,23,136990,136990,0,0,136990,136990,136990,136990,138900,11.82767051
08-06-2024,136990,0,5,6,23,136990,136990,0,0,136990,136990,136990,136990,136990,11.82767051
09-06-2024,136990,0,6,6,23,136990,136990,0,0,136990,136990,136990,136990,136990,11.82767051
10-06-2024,136990,0,0,6,24,136990,136990,0,0,136990,136990,136990,136990,136990,11.82767051
11-06-2024,136990,0,1,6,24,136990,136990,0,0,136990,136990,136990,136990,136990,11.82767051
12-06-2024,135990,-1,2,6,24,136847.1429,136918.5714,377.964473,-1000,136990,136990,136990,136990,136990,11.82034399
13-06-2024,135990,0,3,6,24,136704.2857,136847.1429,487.9500365,-1000,135990,136990,136990,136990,136990,11.82034399
14-06-2024,135990,0,4,6,24,136561.4286,136775.7143,534.5224838,-1000,135990,135990,136990,136990,136990,11.82034399
15-06-2024,135990,0,5,6,24,136418.5714,136704.2857,534.5224838,-1000,135990,135990,135990,136990,136990,11.82034399
