DATE,LISTED PRICE,PRICE TREND,day_of_week,month,week_of_year,MA_7,MA_14,volatility_7,momentum_7,price_lag_1,price_lag_2,price_lag_3,price_lag_7,price_lag_14,log_price
01-01-2024,59999,0,0,1,1,59999,59999,0,0,59999,59999,59999,59999,59999,11.00209984
02-01-2024,59999,0,1,1,1,59999,59999,0,0,59999,59999,59999,59999,59999,11.00209984
03-01-2024,59999,0,2,1,1,59999,59999,0,0,59999,59999,59999,59999,59999,11.00209984
04-01-2024,59999,0,3,1,1,59999,59999,0,0,59999,59999,59999,59999,59999,11.00209984
05-01-2024,59999,0,4,1,1,59999,59999,0,0,59999,59999,59999,59999,59999,11.00209984
06-01-2024,59999,0,5,1,1,59999,59999,0,0,59999,59999,59999,59999,59999,11.00209984
07-01-2024,59999,0,6,1,1,59999,59999,0,0,59999,59999,59999,59999,59999,11.00209984
08-01-2024,59999,0,0,1,2,59999,59999,0,0,59999,59999,59999,59999,59999,11.00209984
09-01-2024,59999,0,1,1,2,59999,59999,0,0,59999,59999,59999,59999,59999,11.00209984
10-01-2024,59999,0,2,1,2,59999,59999,0,0,59999,59999,59999,59999,59999,11.00209984
11-01-2024,59999,0,3,1,2,59999,59999,0,0,59999,59999,59999,59999,59999,11.00209984
12-01-2024,59999,0,4,1,2,59999,59999,0,0,59999,59999,59999,59999,59999,11.00209984
13-01-2024,59999,0,5,1,2,59999,59999,0,0,59999,59999,59999,59999,59999,11.00209984
14-01-2024,59999,0,6,1,2,59999,59999,0,0,59999,59999,59999,59999,59999,11.00209984
15-01-2024,59999,0,0,1,3,59999,59999,0,0,59999,59999,59999,59999,59999,11.00209984
16-01-2024,59999,0,1,1,3,59999,59999,0,0,59999,59999,59999,59999,59999,11.00209984
17-01-2024,59999,0,2,1,3,59999,59999,0,0,59999,59999,59999,59999,59999,11.00209984
18-01-2024,59999,0,3,1,3,59999,59999,0,0,59999,59999,59999,59999,59999,11.00209984
19-01-2024,59999,0,4,1,3,59999,59999,0,0,59999,59999,59999,59999,59999,11.00209984
20-01-2024,59999,0,5,1,3,59999,59999,0,0,59999,59999,59999,59999,59999,11.00209984
21-01-2024,59999,0,6,1,3,59999,59999,0,0,59999,59999,59999,59999,59999,11.00209984
22-01-2024,59999,0,0,1,4,59999,59999,0,0,59999,59999,59999,59999,59999,11.00209984
23-01-2024,64999,1,1,1,4,60713.28571,60356.14286,1889.822365,5000,59999,59999,59999,59999,59999,11.08214255
24-01-2024,64999,0,2,1,4,61427.57143,60713.28571,2439.750182,5000,64999,59999,59999,59999,59999,11.08214255
25-01-2024,64999,0,3,1,4,62141.85714,61070.42857,2672.612419,5000,64999,64999,59999,59999,59999,11.08214255
26-01-2024,64999,0,4,1,4,62856.14286,61427.57143,2672.612419,5000,64999,64999,64999,59999,59999,11.08214255
27-01-2024,64999,0,5,1,4,63570.42857,61784.71429,2439.750182,5000,64999,64999,64999,59999,59999,11.08214255
28-01-2024,64999,0,6,1,4,64284.71429,62141.85714,1889.822365,5000,64999,64999,64999,59999,59999,11.08214255
29-01-2024,64999,0,0,1,5,64999,62499,0,5000,64999,64999,64999,59999,59999,11.08214255
30-01-2024,64999,0,1,1,5,64999,62856.14286,0,0,64999,64999,64999,64999,59999,11.08214255
31-01-2024,64999,0,2,1,5,64999,63213.28571,0,0,64999,64999,64999,64999,59999,11.08214255
01-02-2024,64999,0,3,2,5,64999,63570.42857,0,0,64999,64999,64999,64999,59999,11.08214255
02-02-2024,64999,0,4,2,5,64999,63927.57143,0,0,64999,64999,64999,64999,59999,11.08214255
03-02-2024,64997,-1,5,2,5,64998.71429,64284.57143,0.755929001,-2,64999,64999,64999,64999,59999,11.08211178
04-02-2024,64996,-1,6,2,5,64998.28571,64641.5,1.253566374,-3,64997,64999,64999,64999,59999,11.08209639
05-02-2024,64992,-1,0,2,6,64997.28571,64998.14286,2.62769138,-7,64996,64997,64999,64999,59999,11.08203485
06-02-2024,64984,-1,1,2,6,64995.14286,64997.07143,5.520524482,-15,64992,64996,64997,64999,64999,11.08191175
07-02-2024,64975,-1,2,2,6,64991.71429,64995.35714,9.050124971,-24,64984,64992,64996,64999,64999,11.08177325
08-02-2024,64975,0,3,2,6,64988.28571,64993.64286,10.29100393,-24,64975,64984,64992,64999,64999,11.08177325
09-02-2024,64970,-1,4,2,6,64984.14286,64991.57143,11.06689616,-29,64975,64975,64984,64999,64999,11.0816963
10-02-2024,64964,-1,5,2,6,64979.42857,64989.07143,11.68841511,-33,64970,64975,64975,64997,64999,11.08160394
11-02-2024,64960,-1,6,2,6,64974.28571,64986.28571,11.08624201,-36,64964,64970,64975,64996,64999,11.08154237
12-02-2024,64958,-1,0,2,7,64969.42857,64983.35714,9.342682397,-34,64960,64964,64970,64992,64999,11.08151158
13-02-2024,64953,-1,1,2,7,64965,64980.07143,8.602325272,-31,64958,64960,64964,64984,64999,11.08143461
14-02-2024,64899,-1,2,2,7,64954.14286,64972.92857,25.41278269,-76,64953,64958,64960,64975,64999,11.0806029
15-02-2024,64799,-1,3,2,7,64929,64958.64286,62.0268759,-176,64899,64953,64958,64975,64999,11.07906088
16-02-2024,64870,1,4,2,7,64914.71429,64949.42857,62.52390019,-100,64799,64899,64953,64970,64999,11.08015596
17-02-2024,64840,-1,5,2,7,64897,64938.21429,63.78610089,-124,64870,64799,64899,64964,64997,11.0796934
18-02-2024,64794,-1,6,2,7,64873.28571,64923.78571,67.22527869,-166,64840,64870,64799,64960,64996,11.07898372
19-02-2024,64719,-1,0,2,8,64839.14286,64904.28571,77.00958506,-239,64794,64840,64870,64958,64992,11.07782555
20-02-2024,64611,-1,1,2,8,64790.28571,64877.64286,98.2848145,-342,64719,64794,64840,64953,64984,11.07615543
21-02-2024,64439,-1,2,2,8,64724.57143,64839.35714,152.3776637,-460,64611,64719,64794,64899,64975,11.07348984
22-02-2024,64339,-1,3,2,8,64658.85714,64793.92857,205.0247372,-460,64439,64611,64719,64799,64975,11.0719368
23-02-2024,64300,-1,4,2,8,64577.42857,64746.07143,219.84605,-570,64339,64439,64611,64870,64970,11.07133046
24-02-2024,64274,-1,5,2,8,64496.57143,64696.78571,211.0899154,-566,64300,64339,64439,64840,64964,11.07092603
25-02-2024,63900,-1,6,2,8,64368.85714,64621.07143,264.7674631,-894,64274,64300,64339,64794,64960,11.06509029
26-02-2024,63824,-1,0,2,9,64241,64540.07143,282.974675,-895,63900,64274,64300,64719,64958,11.06390024
27-02-2024,63699,-1,1,2,9,64110.71429,64450.5,293.9646885,-912,63824,63900,64274,64611,64953,11.06193984
28-02-2024,62899,-1,2,2,9,63890.71429,64307.64286,506.6510023,-1540,63699,63824,63900,64439,64899,11.04930144
29-02-2024,62899,0,3,2,9,63685,64171.92857,581.15976,-1440,62899,63699,63824,64339,64799,11.04930144
01-03-2024,63650,1,4,3,9,63592.14286,64084.78571,514.6394947,-650,62899,62899,63699,64300,64870,11.06117031
