DATE,LISTED PRICE,PRICE TREND,day_of_week,month,week_of_year,MA_7,MA_14,volatility_7,momentum_7,price_lag_1,price_lag_2,price_lag_3,price_lag_7,price_lag_14,log_price
08-06-2023,76349,0,3,6,23,76313.28571,76206.14286,94.49111825,250,76349,76349,76349,76099,76499,11.24308331
09-06-2023,76349,0,4,6,23,76349,76224,0,250,76349,76349,76349,76099,76099,11.24308331
10-06-2023,76349,0,5,6,23,76349,76241.85714,0,0,76349,76349,76349,76349,76099,11.24308331
11-06-2023,73750,-1,6,6,23,75977.71429,76074.07143,982.3296654,-2599,76349,76349,76349,76349,76099,11.20844983
12-06-2023,73750,0,0,6,24,75606.42857,75906.28571,1268.182145,-2599,73750,76349,76349,76349,76099,11.20844983
13-06-2023,73750,0,1,6,24,75235.14286,75738.5,1389.223935,-2599,73750,73750,76349,76349,76099,11.20844983
14-06-2023,73750,0,2,6,24,74863.85714,75570.71429,1389.223935,-2599,73750,73750,73750,76349,76099,11.20844983
15-06-2023,73750,0,3,6,24,74492.57143,75402.92857,1268.182145,-2599,73750,73750,73750,76349,76099,11.20844983
16-06-2023,73750,0,4,6,24,74121.28571,75235.14286,982.3296654,-2599,73750,73750,73750,76349,76099,11.20844983
17-06-2023,73750,0,5,6,24,73750,75049.5,0,-2599,73750,73750,73750,76349,76349,11.20844983
18-06-2023,73750,0,6,6,24,73750,74863.85714,0,0,73750,73750,73750,73750,76349,11.20844983
19-06-2023,73750,0,0,6,25,73750,74678.21429,0,0,73750,73750,73750,73750,76349,11.20844983
20-06-2023,73750,0,1,6,25,73750,74492.57143,0,0,73750,73750,73750,73750,76349,11.20844983
21-06-2023,73750,0,2,6,25,73750,74306.92857,0,0,73750,73750,73750,73750,76349,11.20844983
22-06-2023,73750,0,3,6,25,73750,74121.28571,0,0,73750,73750,73750,73750,76349,11.20844983
23-06-2023,73750,0,4,6,25,73750,73935.64286,0,0,73750,73750,73750,73750,76349,11.20844983
24-06-2023,73750,0,5,6,25,73750,73750,0,0,73750,73750,73750,73750,76349,11.20844983
25-06-2023,76349,1,6,6,25,74121.28571,73935.64286,982.3296654,2599,73750,73750,73750,73750,73750,11.24308331
26-06-2023,76349,0,0,6,26,74492.57143,74121.28571,1268.182145,2599,76349,73750,73750,73750,73750,11.24308331
27-06-2023,76349,0,1,6,26,74863.85714,74306.92857,1389.223935,2599,76349,76349,73750,73750,73750,11.24308331
28-06-2023,76349,0,2,6,26,75235.14286,74492.57143,1389.223935,2599,76349,76349,76349,73750,73750,11.24308331
29-06-2023,76349,0,3,6,26,75606.42857,74678.21429,1268.182145,2599,76349,76349,76349,73750,73750,11.24308331
30-06-2023,76349,0,4,6,26,75977.71429,74863.85714,982.3296654,2599,76349,76349,76349,73750,73750,11.24308331
01-07-2023,66967,-1,5,7,26,75008.71429,74379.35714,3546.062686,-6783,76349,76349,76349,73750,73750,11.11197017
02-07-2023,66967,0,6,7,26,73668.42857,73894.85714,4577.947242,-9382,66967,76349,76349,76349,73750,11.11197017
03-07-2023,66967,0,0,7,27,72328.14286,73410.35714,5014.889943,-9382,66967,66967,76349,76349,73750,11.11197017
04-07-2023,66967,0,1,7,27,70987.85714,72925.85714,5014.889943,-9382,66967,66967,66967,76349,73750,11.11197017
05-07-2023,66967,0,2,7,27,69647.57143,72441.35714,4577.947242,-9382,66967,66967,66967,76349,73750,11.11197017
06-07-2023,66967,0,3,7,27,68307.28571,71956.85714,3546.062686,-9382,66967,66967,66967,76349,73750,11.11197017
07-07-2023,66967,0,4,7,27,66967,71472.35714,0,-9382,66967,66967,66967,76349,73750,11.11197017
08-07-2023,66967,0,5,7,27,66967,70987.85714,0,0,66967,66967,66967,66967,73750,11.11197017
09-07-2023,66967,0,6,7,27,66967,70317.71429,0,0,66967,66967,66967,66967,76349,11.11197017
10-07-2023,66967,0,0,7,28,66967,69647.57143,0,0,66967,66967,66967,66967,76349,11.11197017
11-07-2023,66967,0,1,7,28,66967,68977.42857,0,0,66967,66967,66967,66967,76349,11.11197017
12-07-2023,66967,0,2,7,28,66967,68307.28571,0,0,66967,66967,66967,66967,76349,11.11197017
13-07-2023,66967,0,3,7,28,66967,67637.14286,0,0,66967,66967,66967,66967,76349,11.11197017
14-07-2023,66967,0,4,7,28,66967,66967,0,0,66967,66967,66967,66967,76349,11.11197017
15-07-2023,66967,0,5,7,28,66967,66967,0,0,66967,66967,66967,66967,66967,11.11197017
16-07-2023,66967,0,6,7,28,66967,66967,0,0,66967,66967,66967,66967,66967,11.11197017
17-07-2023,66967,0,0,7,29,66967,66967,0,0,66967,66967,66967,66967,66967,11.11197017
18-07-2023,66967,0,1,7,29,66967,66967,0,0,66967,66967,66967,66967,66967,11.11197017
19-07-2023,66967,0,2,7,29,66967,66967,0,0,66967,66967,66967,66967,66967,11.11197017
20-07-2023,66967,0,3,7,29,66967,66967,0,0,66967,66967,66967,66967,66967,11.11197017
21-07-2023,66967,0,4,7,29,66967,66967,0,0,66967,66967,66967,66967,66967,11.11197017
22-07-2023,66967,0,5,7,29,66967,66967,0,0,66967,66967,66967,66967,66967,11.11197017
23-07-2023,66967,0,6,7,29,66967,66967,0,0,66967,66967,66967,66967,66967,11.11197017
24-07-2023,66967,0,0,7,30,66967,66967,0,0,66967,66967,66967,66967,66967,11.11197017
25-07-2023,66967,0,1,7,30,66967,66967,0,0,66967,66967,66967,66967,66967,11.11197017
26-07-2023,73890,1,2,7,30,67956,67461.5,2616.648047,6923,66967,66967,66967,66967,66967,11.21034631
27-07-2023,73890,0,3,7,30,68945,67956,3378.078103,6923,73890,66967,66967,66967,66967,11.21034631
28-07-2023,73890,0,4,7,30,69934,68450.5,3700.499156,6923,73890,73890,66967,66967,66967,11.21034631
29-07-2023,73890,0,5,7,30,70923,68945,3700.499156,6923,73890,73890,73890,66967,66967,11.21034631
30-07-2023,73890,0,6,7,30,71912,69439.5,3378.078103,6923,73890,73890,73890,66967,66967,11.21034631
31-07-2023,73890,0,0,7,31,72901,69934,2616.648047,6923,73890,73890,73890,66967,66967,11.21034631
01-08-2023,73890,0,1,8,31,73890,70428.5,0,6923,73890,73890,73890,66967,66967,11.21034631
02-08-2023,73890,0,2,8,31,73890,70923,0,0,73890,73890,73890,73890,66967,11.21034631
03-08-2023,73890,0,3,8,31,73890,71417.5,0,0,73890,73890,73890,73890,66967,11.21034631
04-08-2023,73890,0,4,8,31,73890,71912,0,0,73890,73890,73890,73890,66967,11.21034631
05-08-2023,73890,0,5,8,31,73890,72406.5,0,0,73890,73890,73890,73890,66967,11.21034631
06-08-2023,73890,0,6,8,31,73890,72901,0,0,73890,73890,73890,73890,66967,11.21034631
07-08-2023,73890,0,0,8,32,73890,73395.5,0,0,73890,73890,73890,73890,66967,11.21034631
08-08-2023,73890,0,1,8,32,73890,73890,0,0,73890,73890,73890,73890,66967,11.21034631
09-08-2023,73890,0,2,8,32,73890,73890,0,0,73890,73890,73890,73890,73890,11.21034631
10-08-2023,73890,0,3,8,32,73890,73890,0,0,73890,73890,73890,73890,73890,11.21034631
11-08-2023,73890,0,4,8,32,73890,73890,0,0,73890,73890,73890,73890,73890,11.21034631
12-08-2023,73890,0,5,8,32,73890,73890,0,0,73890,73890,73890,73890,73890,11.21034631
13-08-2023,73890,0,6,8,32,73890,73890,0,0,73890,73890,73890,73890,73890,11.21034631
14-08-2023,73890,0,0,8,33,73890,73890,0,0,73890,73890,73890,73890,73890,11.21034631
15-08-2023,73890,0,1,8,33,73890,73890,0,0,73890,73890,73890,73890,73890,11.21034631
16-08-2023,73890,0,2,8,33,73890,73890,0,0,73890,73890,73890,73890,73890,11.21034631
17-08-2023,73890,0,3,8,33,73890,73890,0,0,73890,73890,73890,73890,73890,11.21034631
18-08-2023,73890,0,4,8,33,73890,73890,0,0,73890,73890,73890,73890,73890,11.21034631
19-08-2023,73890,0,5,8,33,73890,73890,0,0,73890,73890,73890,73890,73890,11.21034631
20-08-2023,73890,0,6,8,33,73890,73890,0,0,73890,73890,73890,73890,73890,11.21034631
21-08-2023,73890,0,0,8,34,73890,73890,0,0,73890,73890,73890,73890,73890,11.21034631
22-08-2023,73890,0,1,8,34,73890,73890,0,0,73890,73890,73890,73890,73890,11.21034631
23-08-2023,73890,0,2,8,34,73890,73890,0,0,73890,73890,73890,73890,73890,11.21034631
24-08-2023,73890,0,3,8,34,73890,73890,0,0,73890,73890,73890,73890,73890,11.21034631
25-08-2023,73890,0,4,8,34,73890,73890,0,0,73890,73890,73890,73890,73890,11.21034631
26-08-2023,73890,0,5,8,34,73890,73890,0,0,73890,73890,73890,73890,73890,11.21034631
27-08-2023,73890,0,6,8,34,73890,73890,0,0,73890,73890,73890,73890,73890,11.21034631
