DATE,LISTED PRICE,PRICE TREND,day_of_week,month,week_of_year,MA_7,MA_14,volatility_7,momentum_7,price_lag_1,price_lag_2,price_lag_3,price_lag_7,price_lag_14,log_price
14-10-2024,56070,1,0,10,42,57101.85714,59393,1338.37058,-3725,56000,56456,56499,59795,65999,10.93437402
15-10-2024,53500,-1,1,10,42,56210.42857,58500.21429,1366.167249,-6240,56070,56000,56456,59740,65999,10.88745562
16-10-2024,52750,-1,2,10,42,55467.71429,57553.85714,1647.677225,-5199,53500,56070,56000,57949,65999,10.87333801
17-10-2024,52750,0,3,10,42,54860.71429,57036.07143,1767.815669,-4249,52750,53500,56070,56999,59999,10.87333801
18-10-2024,53715,1,4,10,42,54463,56587.21429,1646.839296,-2784,52750,52750,53500,56499,59999,10.89146619
19-10-2024,53740,1,5,10,42,54075,56140.14286,1400.556437,-2716,53715,52750,52750,56456,59999,10.89193149
20-10-2024,53999,1,6,10,42,53789.14286,55711.57143,1117.847698,-2001,53740,53715,52750,56000,59999,10.89673933
21-10-2024,54984,1,0,10,43,53634,55367.92857,769.6741735,-1086,53999,53740,53715,56070,59795,10.9148157
22-10-2024,53710,-1,1,10,43,53664,54937.21429,767.6707193,210,54984,53999,53740,53500,59740,10.8913731
23-10-2024,55569,1,2,10,43,54066.71429,54767.21429,930.4378386,2819,53710,54984,53999,52750,57949,10.92539877
24-10-2024,55565,-1,3,10,43,54468.85714,54664.78571,873.0577355,2815,55569,53710,54984,52750,56999,10.92532678
25-10-2024,56990,1,4,10,43,54936.71429,54699.85714,1213.054507,3275,55565,55569,53710,53715,56499,10.95064864
26-10-2024,55888,-1,5,10,43,55243.57143,54659.28571,1128.619933,2148,56990,55565,55569,53740,56456,10.93112286
27-10-2024,57299,1,6,10,43,55715,54752.07143,1208.498517,3300,55888,56990,55565,53999,56000,10.9560559
28-10-2024,57997,1,0,10,44,56145.42857,54889.71429,1422.386124,3013,57299,55888,56990,54984,56070,10.96816381
29-10-2024,57999,1,1,10,44,56758.14286,55211.07143,1081.324563,4289,57997,57299,55888,53710,53500,10.96819829
30-10-2024,57800,-1,2,10,44,57076.85714,55571.78571,997.9922225,2231,57999,57997,57299,55569,52750,10.96476136
31-10-2024,57790,-1,3,10,44,57394.71429,55931.78571,762.8411181,2225,57800,57999,57997,55565,52750,10.96458833
01-11-2024,57868,1,4,11,44,57520.14286,56228.42857,757.3681246,878,57790,57800,57999,56990,53715,10.96593711
02-11-2024,57000,-1,5,11,44,57679,56461.28571,381.1491397,1112,57868,57790,57800,55888,53740,10.95082409
03-11-2024,53715,-1,6,11,44,57167,56441,1560.210242,-3584,57000,57868,57790,57299,53999,10.89146619
04-11-2024,57000,1,0,11,45,57024.57143,56585,1516.713756,-997,53715,57000,57868,57997,54984,10.95082409
05-11-2024,56996,-1,1,11,45,56881.28571,56819.71429,1455.456024,-1003,57000,53715,57000,57999,53710,10.95075391
06-11-2024,56996,0,2,11,45,56766.42857,56921.64286,1401.599783,-804,56996,57000,53715,57800,55569,10.95075391
07-11-2024,56890,-1,3,11,45,56637.85714,57016.28571,1331.587327,-900,56996,56996,57000,57790,55565,10.94889244
08-11-2024,56887,-1,4,11,45,56497.71429,57008.92857,1228.148296,-981,56890,56996,56996,57868,56990,10.9488397
09-11-2024,56886,-1,5,11,45,56481.42857,57080.21429,1221.113407,-114,56887,56890,56996,57000,55888,10.94882212
10-11-2024,56981,1,6,11,45,56948,57057.5,56.75972751,3266,56886,56887,56890,53715,57299,10.95049071
11-11-2024,56800,-1,0,11,46,56919.42857,56972,73.95461929,-200,56981,56886,56887,57000,57997,10.94730921
12-11-2024,56499,-1,1,11,46,56848.42857,56864.85714,167.543882,-497,56800,56981,56886,56996,57999,10.94199592
